comorbidity_component,frecuencia
Congestive heart failure,407766
Cystic fibrosis,256153
Sinusitis,74740
Abnormal findings without diagnosis,59459
Other specified status,51215
Organ transplant status,40321
Other specified and unspecified gastrointestinal disorders,36742
Diabetes mellitus without complication,34299
Respiratory signs and symptoms,34182
"Implant, device or graft related encounter",30231
"Diabetes, complicated",29602
"Diabetes, uncomplicated",28662
Personal/family history of disease,28656
Solid tumor without metastasis,25947
Other specified and unspecified upper respiratory disease,25584
Abdominal pain and other digestive/abdomen signs and symptoms,25402
Pancreatic disorders (excluding diabetes),24062
Chronic pulmonary disease,23275
Renal failure,22771
Chronic obstructive pulmonary disease and bronchiectasis,22516
