,correlacion_con_susceptibility,correlacion_absoluta
antibiotic,-0.1557633639768831,0.1557633639768831
exp_prev_oxazolidinone,0.12562994762583996,0.12562994762583996
comorb_pancreatic_disorder,0.12490138052529173,0.12490138052529173
exp_prev_macrolide_lincosamide,0.10516993521402175,0.10516993521402175
comorb_chronic_pulmonary_any,0.09875444393392054,0.09875444393392054
comorb_diabetes_any,0.08918654335498676,0.08918654335498676
age,-0.08234749225296188,0.08234749225296188
hosp_ward_ICU,-0.07194068860302168,0.07194068860302168
exp_prev_fluoroquinolone,0.0697836663504204,0.0697836663504204
exp_prev_polymyxin_lipopeptide,0.06966804122026957,0.06966804122026957
hosp_ward_ER,-0.06278337293434891,0.06278337293434891
ordering_mode,-0.053750099264683174,0.053750099264683174
exp_prev_combination_antibiotic,0.05029931773356075,0.05029931773356075
exp_prev_aminoglycoside,0.0439788273361174,0.0439788273361174
exp_prev_monobactam,0.04272567721984504,0.04272567721984504
comorb_sinusitis,0.04210398835227438,0.04210398835227438
comorb_organ_transplant_status,0.03820158125786054,0.03820158125786054
culture_description,0.03622706412794177,0.03622706412794177
exp_prev_nitroimidazole,0.03536622632688767,0.03536622632688767
median_cr,-0.033128496284125036,0.033128496284125036
exp_prev_ansamycin,0.032226740145644646,0.032226740145644646
comorb_solid_tumor_non_metastatic,-0.028180243899060993,0.028180243899060993
hosp_ward_IP,0.027137486773118304,0.027137486773118304
exp_prev_nitrofuran,-0.02688270454241198,0.02688270454241198
exp_prev_beta_lactam,0.023803308727891992,0.023803308727891992
hosp_ward_OP,0.022603745254869217,0.022603745254869217
exp_prev_antitubercular,0.02125743126166548,0.02125743126166548
comorb_renal_failure,-0.020902676270205253,0.020902676270205253
median_wbc,-0.01443138518577753,0.01443138518577753
procedure_name,-0.014375539068865024,0.014375539068865024
exp_prev_glycopeptide,0.009984694852846662,0.009984694852846662
gender,-0.008868709488286575,0.008868709488286575
exp_prev_sulfonamide,0.00884762947611371,0.00884762947611371
exp_prev_folate_synthesis_inhibitor,0.008022529410527918,0.008022529410527918
exp_prev_fosfomycin,-0.007575587740638715,0.007575587740638715
exp_prev_urinary_antiseptic,-0.0045466698358557186,0.0045466698358557186
exp_prev_tetracycline,0.0033817653196153647,0.0033817653196153647
comorb_congestive_heart_failure,0.00039724148691039975,0.00039724148691039975
