variable,rol,entra_como_predictor
anon_id,identificador,0
pat_enc_csn_id_coded,identificador,0
order_proc_id_coded,identificador,0
order_time_jittered_utc,temporal_para_split,0
antibiotic,predictor_base,1
culture_description,predictor_base,1
age,predictor_base,1
gender,predictor_base,1
hosp_ward_ICU,predictor_base,1
hosp_ward_ER,predictor_base,1
hosp_ward_IP,predictor_base,1
hosp_ward_OP,predictor_base,1
ordering_mode,predictor_ampliado,1
procedure_name,predictor_ampliado,1
median_wbc,predictor_ampliado,1
median_cr,predictor_ampliado,1
exp_prev_aminoglycoside,predictor_multihot_exposicion_antibiotica,1
exp_prev_ansamycin,predictor_multihot_exposicion_antibiotica,1
exp_prev_antitubercular,predictor_multihot_exposicion_antibiotica,1
exp_prev_beta_lactam,predictor_multihot_exposicion_antibiotica,1
exp_prev_combination_antibiotic,predictor_multihot_exposicion_antibiotica,1
exp_prev_fluoroquinolone,predictor_multihot_exposicion_antibiotica,1
exp_prev_folate_synthesis_inhibitor,predictor_multihot_exposicion_antibiotica,1
exp_prev_fosfomycin,predictor_multihot_exposicion_antibiotica,1
exp_prev_glycopeptide,predictor_multihot_exposicion_antibiotica,1
exp_prev_macrolide_lincosamide,predictor_multihot_exposicion_antibiotica,1
exp_prev_monobactam,predictor_multihot_exposicion_antibiotica,1
exp_prev_nitrofuran,predictor_multihot_exposicion_antibiotica,1
exp_prev_nitroimidazole,predictor_multihot_exposicion_antibiotica,1
exp_prev_oxazolidinone,predictor_multihot_exposicion_antibiotica,1
exp_prev_polymyxin_lipopeptide,predictor_multihot_exposicion_antibiotica,1
exp_prev_sulfonamide,predictor_multihot_exposicion_antibiotica,1
exp_prev_tetracycline,predictor_multihot_exposicion_antibiotica,1
exp_prev_urinary_antiseptic,predictor_multihot_exposicion_antibiotica,1
comorb_congestive_heart_failure,predictor_multihot_comorbilidad,1
comorb_organ_transplant_status,predictor_multihot_comorbilidad,1
comorb_diabetes_any,predictor_multihot_comorbilidad,1
comorb_solid_tumor_non_metastatic,predictor_multihot_comorbilidad,1
comorb_chronic_pulmonary_any,predictor_multihot_comorbilidad,1
comorb_renal_failure,predictor_multihot_comorbilidad,1
comorb_pancreatic_disorder,predictor_multihot_comorbilidad,1
comorb_sinusitis,predictor_multihot_comorbilidad,1
susceptibility,objetivo,0
