variable,porcentaje_na_real,porcentaje_faltante_semantico,porcentaje_cobertura_real
prior_organism,0.0,100.0,0.0
implied_susceptibility,0.0,100.0,0.0
Rule,0.0,100.0,0.0
prior_infecting_organism_days_to_culture,100.0,0.0,0.0
nursing_home_visit_culture,99.26,0.0,0.74
median_wbc,68.42,0.0,31.58
median_cr,68.36,0.0,31.64
procedure_name,0.0,65.53,34.47
antibiotic_class,0.0,29.77,70.23
time_to_culturetime,29.77,0.0,70.23
ordering_mode,14.71,0.0,85.29
gender,0.0,0.01,99.99
anon_id,0.0,0.0,100.0
pat_enc_csn_id_coded,0.0,0.0,100.0
order_proc_id_coded,0.0,0.0,100.0
order_time_jittered_utc,0.0,0.0,100.0
culture_description,0.0,0.0,100.0
organism,0.0,0.0,100.0
antibiotic,0.0,0.0,100.0
susceptibility,0.0,0.0,100.0
age,0.0,0.0,100.0
hosp_ward_ICU,0.0,0.0,100.0
hosp_ward_ER,0.0,0.0,100.0
hosp_ward_IP,0.0,0.0,100.0
hosp_ward_OP,0.0,0.0,100.0
