organism,filas_validas_binarias,susceptible,resistant,antibioticos_unicos,cultivos_unicos,pct_susceptible,pct_resistant
ESCHERICHIA COLI,852148,729553,122595,37,3,85.61341457117778,14.386585428822224
KLEBSIELLA PNEUMONIAE,145086,124462,20624,36,3,85.78498269991591,14.215017300084087
STAPHYLOCOCCUS AUREUS,81742,63876,17866,23,3,78.14342687969464,21.85657312030535
PROTEUS MIRABILIS,66796,55065,11731,34,3,82.43757111204263,17.562428887957363
ENTEROCOCCUS SPECIES,62766,50524,12242,17,2,80.49580983334927,19.504190166650734
PSEUDOMONAS AERUGINOSA,45480,40020,5460,26,3,87.99472295514512,12.005277044854882
MUCOID PSEUDOMONAS AERUGINOSA,30521,25508,5013,21,3,83.57524327512205,16.424756724877952
KLEBSIELLA OXYTOCA,24366,21150,3216,31,3,86.80128047278995,13.198719527210045
ENTEROBACTER CLOACAE COMPLEX,23072,16840,6232,29,3,72.98890429958391,27.01109570041609
COAG NEGATIVE STAPHYLOCOCCUS,20083,11897,8186,19,3,59.239157496389986,40.760842503610014
STAPH AUREUS {MRSA},16500,9209,7291,19,3,55.81212121212121,44.18787878787879
CITROBACTER KOSERI,16048,15780,268,30,3,98.33000997008973,1.669990029910269
SERRATIA MARCESCENS,14638,10048,4590,31,3,68.64325727558409,31.356742724415902
PSEUDOMONAS AERUGINOSA (NON-MUCOID CF),14425,10192,4233,19,1,70.65511265164645,29.344887348353556
STREPTOCOCCUS AGALACTIAE (GROUP B),12579,10255,2324,8,3,81.52476349471341,18.47523650528659
CITROBACTER FREUNDII COMPLEX,12326,9233,3093,26,3,74.90670128184325,25.093298718156742
KLEBSIELLA AEROGENES,10635,8136,2499,27,3,76.50211565585332,23.497884344146687
MORGANELLA MORGANII,9747,6167,3580,31,3,63.270749974351084,36.729250025648916
ZZZENTEROBACTER AEROGENES,9174,6553,2621,27,3,71.43012862437322,28.56987137562677
ENTEROCOCCUS FAECALIS,8361,7287,1074,18,3,87.1546465733764,12.84535342662361
STREPTOCOCCUS PNEUMONIAE,6138,5291,847,15,3,86.20071684587813,13.799283154121863
STREPTOCOCCUS AGALACTIAE {GROUP B},6103,4930,1173,7,3,80.77994428969359,19.220055710306408
ACHROMOBACTER XYLOSOXIDANS,5148,1882,3266,22,3,36.55788655788656,63.442113442113445
ENTEROBACTER CLOACAE,4083,2817,1266,27,3,68.99338721528288,31.00661278471712
ENTEROCOCCUS FAECIUM,2507,1335,1172,15,3,53.2508974870363,46.7491025129637
STENOTROPHOMONAS MALTOPHILIA,2366,2180,186,12,3,92.13863060016905,7.861369399830938
CITROBACTER KOSERI (CARBAPENEM RESISTANT),2312,2215,97,24,3,95.8044982698962,4.195501730103806
PROTEUS VULGARIS GROUP,2219,1648,571,26,3,74.26768814781433,25.732311852185667
CITROBACTER FREUNDII,2175,1647,528,26,3,75.72413793103449,24.275862068965516
STAPH AUREUS(COLONY VARIANT - SMALL COLONY OR OTHER MORPHOTYPE),1770,774,996,13,2,43.728813559322035,56.271186440677965
PROVIDENCIA RETTGERI,1556,1085,471,25,3,69.73007712082261,30.26992287917738
STREPTOCOCCUS ANGINOSUS GROUP,1550,1343,207,7,3,86.64516129032258,13.35483870967742
STREPTOCOCCUS MITIS GROUP,1360,1130,230,10,3,83.08823529411765,16.911764705882355
MYCOBACTERIUM AVIUM COMPLEX,1346,938,408,4,2,69.68796433878157,30.312035661218424
ACINETOBACTER SPECIES,1284,1241,43,20,3,96.65109034267913,3.348909657320872
STAPHYLOCOCCUS LUGDUNENSIS,1154,1019,135,15,3,88.30155979202773,11.69844020797227
CITROBACTER FREUNDII COMPLEX (CARBAPENEM RESISTANT),1052,712,340,25,3,67.68060836501901,32.31939163498099
PROVIDENCIA STUARTII,1008,598,410,23,2,59.32539682539682,40.67460317460318
ACINETOBACTER BAUMANNII COMPLEX,984,836,148,20,3,84.95934959349594,15.040650406504067
ZZZPROTEUS VULGARIS,894,597,297,24,3,66.77852348993288,33.22147651006711
MYCOBACTERIUM ABSCESSUS,834,359,475,11,2,43.04556354916067,56.95443645083933
PSEUDOMONAS SPECIES - NOT P.AERUGINOSA,765,678,87,16,3,88.62745098039215,11.372549019607844
HAFNIA ALVEI,736,523,213,25,3,71.05978260869566,28.940217391304344
SERRATIA LIQUEFACIENS,723,624,99,28,3,86.30705394190872,13.692946058091287
RAOULTELLA ORNITHINOLYTICA,621,530,91,26,3,85.34621578099839,14.653784219001611
STREPTOCOCCUS PYOGENES (GROUP A),606,548,58,8,1,90.42904290429043,9.570957095709572
MYCOBACTERIUM CHELONAE,603,308,295,11,2,51.07794361525705,48.92205638474295
"STAPHYLOCOCCUS SPECIES - COAG NEGATIVE, NOT STAPH SAPROPHYTICUS",602,412,190,14,1,68.43853820598007,31.561461794019934
PSEUDOMONAS PUTIDA GROUP,587,506,81,15,3,86.20102214650767,13.798977853492334
NON FERMENTING GRAM NEGATIVE RODS,582,413,169,17,3,70.96219931271477,29.037800687285227
VIRIDANS GROUP STREPTOCOCCI,562,504,58,9,3,89.6797153024911,10.320284697508896
MYCOBACTERIUM ABSCESSUS GROUP,556,196,360,11,1,35.25179856115108,64.74820143884892
CORYNEBACTERIUM PROPINQUUM,541,357,184,6,2,65.98890942698706,34.011090573012936
CITROBACTER SPECIES,505,404,101,25,3,80.0,20.0
STAPHYLOCOCCUS SPECIES -NOT STAPH. AUREUS,500,366,134,11,2,73.2,26.8
CORYNEBACTERIUM PSEUDODIPHTHERITICUM,498,323,175,6,1,64.85943775100401,35.140562248995984
CITROBACTER AMALONATICUS COMPLEX,492,436,56,23,1,88.6178861788618,11.38211382113821
PANTOEA AGGLOMERANS,455,442,13,26,3,97.14285714285714,2.857142857142857
ENTEROBACTER CLOACAE COMPLEX (CARBAPENEM RESISTANT),412,199,213,27,3,48.30097087378641,51.69902912621359
RAOULTELLA,411,361,50,24,3,87.8345498783455,12.165450121654501
ZZZCITROBACTER AMALONATICUS,410,364,46,25,3,88.78048780487805,11.219512195121952
ENTEROCOCCUS FAECIUM -  VANCO RESISTANT,408,166,242,12,2,40.68627450980392,59.31372549019608
PSEUDOMONAS SPECIES - FLUORESCENS/PUTIDA GROUP,401,285,116,14,3,71.07231920199501,28.92768079800499
STREPTOCOCCUS DYSGALACTIAE,369,314,55,8,2,85.09485094850947,14.905149051490515
BACTEROIDES FRAGILIS,364,334,30,6,1,91.75824175824175,8.241758241758241
KLEBSIELLA PNEUMONIAE (CARBAPENEM RESISTANT),352,94,258,29,3,26.704545454545453,73.29545454545455
ACINETOBACTER BAUMANNII,327,251,76,19,3,76.75840978593273,23.24159021406728
ENTEROBACTER GERGOVIAE,322,296,26,24,3,91.92546583850931,8.074534161490684
KLEBSIELLA SPECIES,322,281,41,24,2,87.26708074534162,12.732919254658384
CORYNEBACTERIUM SPECIES,314,212,102,7,3,67.51592356687898,32.48407643312102
AEROMONAS SPECIES,311,291,20,21,2,93.56913183279742,6.430868167202572
CITROBACTER BRAAKII,310,239,71,23,2,77.09677419354838,22.903225806451612
ESCHERICHIA COLI (CARBAPENEM RESISTANT),309,96,213,28,3,31.06796116504854,68.93203883495146
BURKHOLDERIA GLADIOLI,302,195,107,13,1,64.56953642384106,35.430463576158935
NONFERMENTING GRAM NEGATIVE RODS - UNIDENTIFIED,290,175,115,13,3,60.3448275862069,39.6551724137931
PANTOEA SPECIES,282,263,19,25,3,93.26241134751773,6.73758865248227
CHRYSEOBACTERIUM INDOLOGENES,281,99,182,13,2,35.231316725978644,64.76868327402136
STREPTOCOCCUS MITIS/STREPTOCOCCUS ORALIS,278,240,38,8,1,86.33093525179856,13.66906474820144
ACINETOBACTER LWOFFI,276,269,7,15,3,97.46376811594203,2.536231884057971
ACHROMOBACTER SPECIES,273,175,98,17,2,64.1025641025641,35.8974358974359
BURKHOLDERIA CEPACIA,271,165,106,6,3,60.88560885608856,39.11439114391143
PROTEUS SPECIES,267,217,50,20,3,81.27340823970037,18.726591760299627
CORYNEBACTERIUM STRIATUM,264,102,162,8,3,38.63636363636363,61.36363636363637
SALMONELLA ENTERICA,254,227,27,14,2,89.37007874015748,10.62992125984252
STREPTOCOCCUS SALIVARIUS GROUP,253,221,32,7,1,87.35177865612648,12.648221343873518
MYCOBACTERIUM FORTUITUM SPECIES GROUP,248,169,79,11,2,68.14516129032258,31.85483870967742
CLOSTRIDIUM PERFRINGENS,230,224,6,5,1,97.3913043478261,2.608695652173913
STAPHYLOCOCCUS SPECIES,223,123,100,16,3,55.15695067264574,44.843049327354265
BURKHOLDERIA CENOCEPACIA,222,107,115,6,3,48.1981981981982,51.80180180180181
STREPTOCOCCUS GALLOLYTICUS,218,188,30,7,1,86.23853211009175,13.761467889908257
PSEUDOMONAS FLUORESCENS GROUP,218,199,19,16,3,91.28440366972477,8.715596330275229
STREPTOCOCCUS BOVIS GP.,216,202,14,6,1,93.51851851851852,6.481481481481481
LACTOSE FERMENTING GRAM NEGATIVE RODS,214,184,30,24,3,85.98130841121495,14.018691588785046
SERRATIA RUBIDAEA,212,156,56,24,2,73.58490566037736,26.41509433962264
SERRATIA SPECIES,209,181,28,25,3,86.60287081339713,13.397129186602871
STREPTOCOCCUS PYOGENES {GROUP A},185,183,2,6,2,98.91891891891892,1.0810810810810811
ENTEROCOCCUS CASSELIFLAVUS,182,153,29,12,2,84.06593406593407,15.934065934065933
STREPTOCOCCUS SPECIES,182,165,17,7,3,90.65934065934066,9.340659340659341
ENTEROCOCCUS GALLINARUM,180,142,38,11,2,78.88888888888889,21.11111111111111
BURKHOLDERIA MULTIVORANS,174,111,63,5,2,63.793103448275865,36.206896551724135
SERRATIA ODORIFERA,173,153,20,24,2,88.4393063583815,11.560693641618498
ENTEROBACTER SPECIES,168,137,31,24,3,81.54761904761905,18.452380952380953
CORYNEBACTERIUM ACCOLENS,166,121,45,6,1,72.89156626506023,27.10843373493976
CRONOBACTER SAKAZAKII,165,159,6,26,3,96.36363636363636,3.6363636363636362
ZZZMYCOBACTERIUM MUCOGENICUM,163,154,9,11,2,94.47852760736197,5.521472392638037
CITROBACTER YOUNGAE,157,137,20,22,2,87.26114649681529,12.738853503184714
ENTEROCOCCUS AVIUM,149,139,10,11,2,93.28859060402685,6.7114093959731544
RAOULTELLA PLANTICOLA,148,136,12,15,2,91.8918918918919,8.108108108108109
STREPTOCOCCUS GORDONII,138,124,14,8,1,89.85507246376811,10.144927536231885
STREPTOCOCCUS SALIVARIUS,135,118,17,8,2,87.4074074074074,12.592592592592592
ENTEROCOCCUS RAFFINOSUS,134,99,35,9,2,73.88059701492537,26.119402985074625
CORYNEBACTERIUM UREALYTICUM,134,70,64,6,2,52.23880597014925,47.76119402985074
KLUYVERA SPECIES,133,122,11,24,3,91.72932330827066,8.270676691729323
KLEBSIELLA AEROGENES (CARBAPENEM RESISTANT),127,69,58,25,3,54.330708661417326,45.66929133858268
PSEUDOMONAS STUTZERI GROUP,121,120,1,12,2,99.17355371900827,0.8264462809917356
STREPTOCOCCUS PARASANGUINIS,113,97,16,8,3,85.84070796460178,14.15929203539823
