variable,tipo,porcentaje_nulos,cardinalidad,porcentaje_valor_mayoritario
median_procalcitonin,float64,97.04721249120092,531,97.04721249120092
median_neutrophils,float64,93.16285407310136,353,93.16285407310136
median_lymphocytes,float64,93.06035245736304,314,93.06035245736304
median_lactate,float64,85.71646159482634,643,85.71646159482634
median_wbc,float64,54.74162594731664,453,54.74162594731664
median_bun,float64,54.698814027490194,153,54.698814027490194
median_cr,float64,54.24311407318368,775,54.24311407318368
median_resprate,float64,44.20701209848389,46,44.20701209848389
median_temp,float64,34.15856053152645,150,34.15856053152645
median_diasbp,float64,28.13525273440555,115,28.13525273440555
median_sysbp,float64,28.105613712987243,171,28.105613712987243
median_heartrate,float64,28.0249297102374,144,28.0249297102374
adi_state_rank,float64,20.64934156090613,10,30.360649259230293
adi_score,float64,20.64934156090613,96,26.470939351152424
missing_adi_score,int64,0.0,1,100.0
missing_adi_state_rank,int64,0.0,1,100.0
comorb_pancreatic_disorder,int64,0.0,1,100.0
exp_prev_folate_synthesis_inhibitor,int64,0.0,2,99.19727650325412
exp_prev_antitubercular,int64,0.0,2,98.66994891385336
exp_prev_monobactam,int64,0.0,2,98.63166517785471
exp_prev_polymyxin_lipopeptide,int64,0.0,2,98.2912280846194
exp_prev_urinary_antiseptic,int64,0.0,2,97.89151294854747
exp_prev_sulfonamide,int64,0.0,2,97.77295686287425
exp_prev_fosfomycin,int64,0.0,2,97.36789023682402
exp_prev_oxazolidinone,int64,0.0,2,95.31415304438032
exp_prev_ansamycin,int64,0.0,2,94.98647719647789
hosp_ward_ICU,int64,0.0,2,94.90496988757755
comorb_organ_transplant_status,int64,0.0,2,91.6401493477357
exp_prev_aminoglycoside,int64,0.0,2,91.48289787298856
comorb_congestive_heart_failure,int64,0.0,2,87.78460664490395
exp_prev_tetracycline,int64,0.0,2,86.8859679816238
exp_prev_glycopeptide,int64,0.0,2,85.850248844284
comorb_solid_tumor_non_metastatic,int64,0.0,2,85.18913400542559
exp_prev_nitroimidazole,int64,0.0,2,83.05100793255477
comorb_chronic_pulmonary_any,int64,0.0,2,82.38577656294382
exp_prev_nitrofuran,int64,0.0,2,77.8452431428889
comorb_renal_failure,int64,0.0,2,76.9461928265335
comorb_sinusitis,int64,0.0,2,75.62602141419298
exp_prev_combination_antibiotic,int64,0.0,2,72.56208757507522
missing_median_temp,int64,0.0,2,72.3920748549952
missing_median_heartrate,int64,0.0,2,72.3920748549952
missing_median_resprate,int64,0.0,2,72.3920748549952
missing_median_sysbp,int64,0.0,2,72.3920748549952
missing_median_diasbp,int64,0.0,2,72.3920748549952
comorb_diabetes_any,int64,0.0,2,72.24387974790366
culture_description,str,0.0,3,69.76778650024904
hosp_ward_ER,int64,0.0,2,69.69039572210124
gender,str,0.0,3,66.7660122754947
exp_prev_macrolide_lincosamide,int64,0.0,2,64.43317429802859
exp_prev_beta_lactam,int64,0.0,2,62.287638469803184
hosp_ward_OP,int64,0.0,2,58.8610382713864
exp_prev_fluoroquinolone,int64,0.0,2,55.67649008121916
ordering_mode,str,0.0,3,53.670504645504955
hosp_ward_IP,int64,0.0,2,53.670504645504955
missing_median_wbc,int64,0.0,2,52.76980771684855
missing_median_cr,int64,0.0,2,52.76980771684855
missing_median_bun,int64,0.0,2,52.76980771684855
missing_median_lactate,int64,0.0,2,52.76980771684855
missing_median_procalcitonin,int64,0.0,2,52.76980771684855
missing_median_neutrophils,int64,0.0,2,52.76980771684855
missing_median_lymphocytes,int64,0.0,2,52.76980771684855
organism,str,0.0,6,20.582653762714934
age,str,0.0,9,18.673406799685495
antibiotic,str,0.0,48,10.16700765263067
