,correlacion_target,abs_correlacion_target
exp_prev_oxazolidinone,0.07365653300680394,0.07365653300680394
comorb_organ_transplant_status,0.06352301274885776,0.06352301274885776
comorb_diabetes_any,0.06195096446603851,0.06195096446603851
exp_prev_fluoroquinolone,0.054771055697686456,0.054771055697686456
exp_prev_combination_antibiotic,0.05083368706107735,0.05083368706107735
hosp_ward_IP,0.04861036521356707,0.04861036521356707
exp_prev_nitroimidazole,0.044711640503004205,0.044711640503004205
median_procalcitonin,-0.04382634540749796,0.04382634540749796
median_neutrophils,-0.041776038153843134,0.041776038153843134
exp_prev_polymyxin_lipopeptide,0.04111998668877162,0.04111998668877162
exp_prev_monobactam,0.03904358368178955,0.03904358368178955
exp_prev_fosfomycin,0.03551092230882457,0.03551092230882457
comorb_chronic_pulmonary_any,0.030091251638009707,0.030091251638009707
missing_median_resprate,-0.029350348347661676,0.029350348347661676
missing_median_diasbp,-0.029350348347661676,0.029350348347661676
missing_median_temp,-0.029350348347661676,0.029350348347661676
missing_median_heartrate,-0.029350348347661676,0.029350348347661676
missing_median_sysbp,-0.029350348347661676,0.029350348347661676
exp_prev_ansamycin,0.02768553871801716,0.02768553871801716
hosp_ward_ICU,-0.02721192738650681,0.02721192738650681
exp_prev_macrolide_lincosamide,0.025571427952692106,0.025571427952692106
exp_prev_aminoglycoside,0.025175230925341668,0.025175230925341668
median_lactate,-0.02503141048113344,0.02503141048113344
exp_prev_glycopeptide,0.023807193799351,0.023807193799351
median_heartrate,0.023217706532715536,0.023217706532715536
missing_median_neutrophils,-0.022909556995068105,0.022909556995068105
missing_median_cr,-0.022909556995068105,0.022909556995068105
missing_median_lactate,-0.022909556995068105,0.022909556995068105
missing_median_procalcitonin,-0.022909556995068105,0.022909556995068105
missing_median_bun,-0.022909556995068105,0.022909556995068105
missing_median_wbc,-0.022909556995068105,0.022909556995068105
missing_median_lymphocytes,-0.022909556995068105,0.022909556995068105
adi_score,0.022823018261728455,0.022823018261728455
adi_state_rank,0.022384796981843636,0.022384796981843636
hosp_ward_OP,-0.020819899172926724,0.020819899172926724
comorb_renal_failure,0.018636831065594644,0.018636831065594644
median_wbc,-0.01845779606843749,0.01845779606843749
exp_prev_beta_lactam,0.018428039165376067,0.018428039165376067
exp_prev_urinary_antiseptic,0.018260760124233416,0.018260760124233416
exp_prev_sulfonamide,0.01708049639114408,0.01708049639114408
exp_prev_nitrofuran,0.010649427691428548,0.010649427691428548
median_sysbp,-0.010232563126179199,0.010232563126179199
median_cr,0.010028254582143287,0.010028254582143287
median_bun,0.008644681870172137,0.008644681870172137
median_diasbp,-0.008606899227727446,0.008606899227727446
exp_prev_folate_synthesis_inhibitor,0.007886490829299373,0.007886490829299373
comorb_solid_tumor_non_metastatic,-0.007075049019652776,0.007075049019652776
exp_prev_antitubercular,0.006512186533425288,0.006512186533425288
median_resprate,0.005806505110455101,0.005806505110455101
hosp_ward_ER,-0.0057978372578987815,0.0057978372578987815
median_lymphocytes,0.002385717258085276,0.002385717258085276
exp_prev_tetracycline,0.001807889628187411,0.001807889628187411
median_temp,0.0017258508396304155,0.0017258508396304155
comorb_sinusitis,-0.0005727600120256406,0.0005727600120256406
comorb_congestive_heart_failure,0.00038566172537634745,0.00038566172537634745
missing_adi_score,,
missing_adi_state_rank,,
comorb_pancreatic_disorder,,
